location,crop.x,bag_no,block.x,sample_time,series_no,tea_id,old_tea_id,tea_final_drywt_g,crop.y,block.y,number,tea_initial_drywt_g,notes
wiu,gpc,107,3,t1,7,101,101,1.984,gpc,3,1,2.1,NA
wiu,gpc,108,3,t9,8,103,103,1.652,gpc,3,3,2.2,NA
wiu,gpc,109,3,t6,9,104,104,1.45,gpc,3,4,2.2,NA
wiu,gpc,110,3,t0,10,106,106,2.052,gpc,3,6,2.3,NA
wiu,wpc,111,3,t9,1,120,120,1.548,wpc,3,10,2,NA
wiu,wpc,112,3,t0,2,112,112,2.089,wpc,3,2,2.1,NA
wiu,wpc,113,3,t3,3,118,118,1.903,wpc,3,8,2.1,NA
wiu,wpc,114,3,t4,4,NA,NA,NA,NA,NA,NA,NA,NA
wiu,wpc,115,3,t7,5,111,111,1.404,wpc,3,1,2.2,NA
wiu,wpc,116,3,t7,6,113,113,1.462,wpc,3,3,2.1,NA
wiu,wpc,117,3,t1,7,114,114,2.062,wpc,3,4,2.1,NA
wiu,wpc,118,3,t6,8,115,115,1.668,wpc,3,5,2.1,NA
wiu,wpc,119,3,t2,9,119,119,1.846,wpc,3,9,2.1,NA
wiu,wpc,120,3,t5,10,117,117,1.685,wpc,3,7,2,NA
wiu,ar,121,3,t7,1,136,136,2.144,ar,3,6,2,NA
wiu,ar,122,3,t3,2,137,137,1.927,ar,3,7,2.1,NA
wiu,ar,123,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
wiu,ar,124,3,t2,4,138,138,1.927,ar,3,8,2.2,NA
wiu,ar,125,3,t1,5,135,135,2.074,ar,3,5,2.1,NA
wiu,ar,126,3,t8,6,133,133,1.593,ar,3,3,2.1,NA
wiu,ar,127,3,t5,7,139,139,1.573,ar,3,9,2.1,NA
wiu,ar,128,3,t6,8,134,134,1.598,ar,3,4,2.2,NA
wiu,ar,129,3,t4,9,140,140,1.798,ar,3,10,2.1,NA
wiu,ar,130,3,t0,10,131,131,1.994,ar,3,1,2.1,NA
wiu,cr,131,3,t8,1,141,141,1.22,cr,3,1,2.1,NA
wiu,cr,132,3,t9,2,143,143,1.261,cr,3,3,2.3,NA
wiu,cr,133,3,t3,3,148,148,1.538,cr,3,8,2.2,NA
wiu,cr,134,3,t7,4,144,144,1.348,cr,3,4,2.2,NA
wiu,cr,135,3,t4,5,145,145,1.352,cr,3,5,2.1,NA
wiu,cr,136,3,t0,6,142,142,2.015,cr,3,2,2.1,NA
wiu,cr,137,3,t1,7,149,149,2.276,cr,3,9,2.3,NA
wiu,cr,138,3,t5,8,66,66,1.586,cr,2,6,2.1,NA
wiu,cr,139,3,t2,9,150,150,1.831,cr,3,10,2.2,NA
wiu,cr,140,3,t6,10,146,146,1.279,cr,3,6,2,NA
wiu,pcro,141,3,t8,1,122,122,1.568,pcro,3,2,2.1,NA
wiu,pcro,142,3,t9,2,127,127,2.08,pcro,3,7,2.2,NA
wiu,pcro,143,3,t2,3,129,129,1.904,pcro,3,9,2.2,NA
wiu,pcro,144,3,t4,4,130,130,2.289,pcro,3,10,2.1,NA
wiu,pcro,145,3,t5,5,NA,125,2.609,NA,NA,NA,NA,NA
wiu,pcro,146,3,t6,6,124,124,1.709,pcro,3,4,2.1,NA
wiu,pcro,147,3,t1,7,128,128,2.057,pcro,3,8,2.1,NA
wiu,pcro,148,3,t0,8,126,126,2.014,pcro,3,6,2.1,NA
wiu,pcro,149,3,t3,9,123,123,2.44,pcro,3,3,2,NA
wiu,pcro,150,3,t7,10,NA,NA,NA,NA,NA,NA,NA,NA
wiu,wpc,151,4,t0,1,152,152,2.152,wpc,4,2,2.2,NA
wiu,wpc,152,4,t5,2,153,153,1.78,wpc,4,3,2.1,NA
wiu,wpc,153,4,t3,3,NA,NA,NA,NA,NA,NA,NA,NA
wiu,wpc,154,4,t9,4,159,159,1.422,wpc,4,9,2.2,NA
wiu,wpc,155,4,t2,5,160,160,1.971,wpc,4,10,2.2,NA
wiu,wpc,156,4,t1,6,158,158,1.874,wpc,4,8,2,NA
wiu,wpc,157,4,t6,7,157,157,1.585,wpc,4,7,2.3,NA
wiu,wpc,158,4,t7,8,551,155,1.529,NA,NA,NA,NA,NA
wiu,wpc,159,4,t4,9,151,151,1.684,wpc,4,1,2.1,NA
wiu,wpc,160,4,t8,10,156,156,1.712,wpc,4,6,2.1,NA
wiu,ar,161,4,t4,1,165,105,1.61,ar,4,5,2.1,NA
wiu,ar,162,4,t3,2,NA,162,1.92,NA,NA,NA,NA,NA
wiu,ar,163,4,t8,3,528,198,1.985,NA,NA,NA,NA,NA
wiu,ar,164,4,t6,4,164,164,1.918,ar,4,4,2.1,NA
wiu,ar,165,4,t5,5,166,166,1.919,ar,4,6,2.1,NA
wiu,ar,166,4,t0,6,167,167,2.064,ar,4,7,2.2,NA
wiu,ar,167,4,t1,7,168,168,2.118,ar,4,8,2.3,NA
wiu,ar,168,4,t7,8,169,164,1.613,ar,4,9,2.2,NA
wiu,ar,169,4,t9,9,163,163,1.983,ar,4,3,2.2,NA
wiu,ar,170,4,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
wiu,cr,171,4,t2,1,NA,189,1.798,NA,NA,NA,NA,NA
wiu,cr,172,4,t5,2,NA,185,1.344,NA,NA,NA,NA,NA
wiu,cr,173,4,t4,3,190,190,1.166,cr,4,10,2,NA
wiu,cr,174,4,t3,4,187,187,1.484,cr,4,7,2,NA
wiu,cr,175,4,t9,5,181,181,1.048,cr,4,1,2,NA
wiu,cr,176,4,t0,6,182,182,2.075,cr,4,2,2.1,NA
wiu,cr,177,4,t1,7,183,183,1.935,cr,4,3,2,NA
wiu,cr,178,4,t7,8,NA,188,1.179,NA,NA,NA,NA,NA
wiu,cr,179,4,t8,9,189,185,1.157,cr,4,9,2.1,NA
wiu,cr,180,4,t6,10,184,184,1.149,cr,4,4,2.1,NA
wiu,gpc,181,4,t3,1,193,193,1.639,gpc,4,3,2,NA
wiu,gpc,182,4,t4,2,161,191,1.381,ar,4,1,2.2,NA
wiu,gpc,183,4,t6,3,199,199,1.423,gpc,4,9,2.1,NA
wiu,gpc,184,4,t1,4,147,197,2.215,cr,3,7,2.2,NA
wiu,gpc,185,4,t8,5,196,196,1.487,gpc,4,6,2.1,NA
wiu,gpc,186,4,t0,6,561,195,2.065,NA,NA,NA,NA,NA
wiu,gpc,187,4,t7,7,198,198,1.44,gpc,4,8,2.2,NA
wiu,gpc,188,4,t2,8,200,200,1.803,gpc,4,10,2,NA
wiu,gpc,189,4,t9,9,NA,NA,NA,NA,NA,NA,NA,NA
wiu,gpc,190,4,t5,10,194,194,0.742,gpc,4,4,2.2,NA
wiu,pcro,191,4,t0,1,125,135,1.99,pcro,3,5,2.3,NA
wiu,pcro,192,4,t8,2,174,179,1.43,pcro,4,4,2.1,NA
wiu,pcro,193,4,t4,3,171,171,1.542,pcro,4,1,2,NA
wiu,pcro,194,4,t6,4,180,180,1.546,pcro,4,10,NA,forgot to measure probably 2
wiu,pcro,195,4,t1,5,173,173,2.003,pcro,4,3,2,NA
wiu,pcro,196,4,t9,6,172,172,1.463,pcro,4,2,2,NA
wiu,pcro,197,4,t7,7,94,176,1.793,ar,2,4,2.5,NA
wiu,pcro,198,4,t3,8,178,178,1.734,pcro,4,8,2.1,NA
wiu,pcro,199,4,t5,9,NA,161,1.396,NA,NA,NA,NA,NA
wiu,pcro,200,4,t2,10,61,61,2.067,cr,2,1,2.2,NA
isu,ar,201,1,t6,1,NA,112,1.217,NA,NA,NA,NA,NA
isu,ar,202,1,t3,2,204,204,1.576,NA,NA,4,2.1,NA
isu,ar,203,1,t0,3,207,207,2.104,NA,NA,7,2.1,NA
isu,ar,204,1,t7,4,201,205,1.162,NA,NA,1,2.1,NA
isu,ar,205,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,206,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,207,1,t2,7,202,202,2.009,NA,NA,2,2.1,NA
isu,ar,208,1,t8,8,NA,206,1.209,NA,NA,NA,NA,NA
isu,ar,209,1,t5,9,219,210,1.38,NA,NA,9,2.1,NA
isu,ar,210,1,t1,10,203,203,2.008,NA,NA,3,2.2,NA
isu,gpc,211,1,t0,1,NA,220,1.994,NA,NA,NA,NA,NA
isu,gpc,212,1,t9,2,215,215,1.16,NA,NA,5,2.1,NA
isu,gpc,213,1,t5,3,214,214,1.442,NA,NA,4,2.1,NA
isu,gpc,214,1,t8,4,NA,218,1.626,NA,NA,NA,NA,NA
isu,gpc,215,1,t1,5,213,213,2.042,NA,NA,3,2.1,NA
isu,gpc,216,1,t2,6,212,212,1.91,NA,NA,2,2.1,NA
isu,gpc,217,1,t7,7,216,216,1.206,NA,NA,6,2.2,NA
isu,gpc,218,1,t3,8,217,217,1.498,NA,NA,7,2.1,NA
isu,gpc,219,1,t6,9,NA,209,1.238,NA,NA,NA,NA,NA
isu,gpc,220,1,t4,10,NA,219,1.571,NA,NA,NA,NA,NA
isu,wpc,221,1,t2,1,NA,226,2.037,NA,NA,NA,NA,NA
isu,wpc,222,1,t4,2,225,225,1.571,NA,NA,5,2.1,NA
isu,wpc,223,1,t6,3,222,222,1.465,NA,NA,2,2.1,NA
isu,wpc,224,1,t0,4,506,229,1.976,NA,NA,NA,NA,NA
isu,wpc,225,1,t7,5,507,221,1.781,NA,NA,NA,NA,NA
isu,wpc,226,1,t5,6,NA,NA,NA,NA,NA,NA,NA,NA
isu,wpc,227,1,t3,7,228,228,1.718,NA,NA,8,2.1,NA
isu,wpc,228,1,t1,8,223,223,2.197,NA,NA,3,2.3,NA
isu,wpc,229,1,t9,9,230,230,1.383,NA,NA,10,2.1,NA
isu,wpc,230,1,t8,10,229,229,1.337,NA,NA,9,2,NA
isu,cr,231,1,t0,1,236,236,2.023,NA,NA,6,2.1,NA
isu,cr,232,1,t5,2,232,232,1.249,NA,NA,2,2.1,NA
isu,cr,233,1,t4,3,238,238,1.53,NA,NA,8,2.1,NA
isu,cr,234,1,t3,4,NA,237,1.727,NA,NA,NA,NA,NA
isu,cr,235,1,t7,5,234,239,1.162,NA,NA,4,2,NA
isu,cr,236,1,t9,6,240,240,1.258,NA,NA,10,2.1,NA
isu,cr,237,1,t1,7,239,239,1.996,NA,NA,9,2,NA
isu,cr,238,1,t6,8,233,233,1.248,NA,NA,3,2.1,NA
isu,cr,239,1,t8,9,235,235,1.074,NA,NA,5,2,NA
isu,cr,240,1,t2,10,231,231,1.965,NA,NA,1,2.1,NA
isu,pcro,241,1,t7,1,NA,NA,NA,NA,NA,NA,NA,NA
isu,pcro,242,1,t9,2,524,296,1.214,NA,NA,NA,NA,NA
isu,pcro,243,1,t4,3,248,248,1.481,NA,NA,NA,2.2,NA
isu,pcro,244,1,t2,4,249,244,2.016,NA,NA,NA,2.1,NA
isu,pcro,245,1,t1,5,NA,249,2.086,NA,NA,NA,NA,NA
isu,pcro,246,1,t3,6,247,247,1.709,NA,NA,NA,2.1,NA
isu,pcro,247,1,t5,7,245,245,1.292,NA,NA,NA,2,NA
isu,pcro,248,1,t8,8,242,242,1.897,NA,NA,NA,2.1,NA
isu,pcro,249,1,t0,9,243,293,1.983,NA,NA,NA,2,NA
isu,pcro,250,1,t6,10,NA,NA,NA,NA,NA,NA,NA,NA
isu,wpc,251,2,t4,1,NA,251,1.678,NA,NA,NA,NA,NA
isu,wpc,252,2,t3,2,NA,253,1.795,NA,NA,NA,NA,NA
isu,wpc,253,2,t1,3,250,250,2.228,NA,NA,NA,2,NA
isu,wpc,254,2,t9,4,504,NA,1.747,NA,NA,NA,NA,NA
isu,wpc,255,2,t8,5,NA,260,2.179,NA,NA,NA,NA,NA
isu,wpc,256,2,t2,6,NA,12,2.014,NA,NA,NA,NA,NA
isu,wpc,257,2,t7,7,502,NA,1.983,NA,NA,NA,NA,NA
isu,wpc,258,2,t5,8,NA,251,1.903,NA,NA,NA,NA,NA
isu,wpc,259,2,t0,9,252,252,2.399,NA,NA,NA,2.5,NA
isu,wpc,260,2,t6,10,503,267,1.637,NA,NA,NA,NA,NA
isu,cr,261,2,t1,1,267,267,2.028,NA,NA,NA,2.1,NA
isu,cr,262,2,t6,2,261,261,1.285,NA,NA,NA,2.2,NA
isu,cr,263,2,t2,3,224,224,1.941,NA,NA,4,2.1,NA
isu,cr,264,2,t9,4,510,NA,1.345,NA,NA,NA,NA,NA
isu,cr,265,2,t4,5,508,263,1.463,NA,NA,NA,NA,NA
isu,cr,266,2,t7,6,509,NA,1.049,NA,NA,NA,NA,NA
isu,cr,267,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
isu,cr,268,2,t5,8,246,NA,1.27,NA,NA,NA,2.1,NA
isu,cr,269,2,t3,9,208,208,1.814,NA,NA,8,2.2,NA
isu,cr,270,2,t0,10,265,265,2.008,NA,NA,NA,2.1,NA
isu,pcro,271,2,t0,1,226,NA,NA,NA,NA,6,2.2,NA
isu,pcro,272,2,t3,2,518,280,1.669,NA,NA,NA,NA,NA
isu,pcro,273,2,t7,3,520,272,1.732,NA,NA,NA,NA,NA
isu,pcro,274,2,t1,4,271,271,2.182,NA,NA,NA,2.2,NA
isu,pcro,275,2,t4,5,279,276,1.388,NA,NA,NA,2.2,NA
isu,pcro,276,2,t6,6,NA,219,1.571,NA,NA,NA,NA,NA
isu,pcro,277,2,t9,7,519,275,1.627,NA,NA,NA,NA,NA
isu,pcro,278,2,t2,8,521,277,2.276,NA,NA,NA,NA,NA
isu,pcro,279,2,t5,9,511,273,1.461,NA,NA,NA,NA,NA
isu,pcro,280,2,t8,10,378,278,1.475,NA,NA,NA,2.2,NA
isu,ar,281,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,282,2,t3,2,284,288,1.65,NA,NA,NA,2.3,284
isu,ar,283,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,284,2,t6,4,289,289,2.317,NA,NA,NA,2.4,NA
isu,ar,285,2,t2,5,210,210,1.95,NA,NA,10,2.1,NA
isu,ar,286,2,t1,6,526,282,2.222,NA,NA,NA,NA,NA
isu,ar,287,2,t9,7,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,288,2,t5,8,283,283,1.428,NA,NA,NA,2.1,NA
isu,ar,289,2,t7,9,525,287,1.398,NA,NA,NA,NA,NA
isu,ar,290,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
isu,gpc,291,2,t5,1,NA,298,1.498,NA,NA,NA,NA,NA
isu,gpc,292,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
isu,gpc,293,2,t2,3,300,300,2.078,NA,NA,NA,2.3,NA
isu,gpc,294,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
isu,gpc,295,2,t3,5,262,202,1.746,NA,NA,NA,2.3,NA
isu,gpc,296,2,t9,6,221,271,1.758,NA,NA,1,2.1,NA
isu,gpc,297,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
isu,gpc,298,2,NA,8,291,291,1.632,NA,NA,NA,2.3,NA
isu,gpc,299,2,t1,9,296,296,1.966,NA,NA,NA,2.1,NA
isu,gpc,300,2,t4,10,251,251,1.626,NA,NA,NA,2.2,NA
isu,gpc,301,3,t4,1,310,310,1.589,NA,NA,NA,2.1,NA
isu,gpc,302,3,t7,2,301,301,1.253,NA,NA,NA,2.1,NA
isu,gpc,303,3,t5,3,302,302,1.231,NA,NA,NA,2.1,NA
isu,gpc,304,3,t9,4,309,309,1.252,NA,NA,NA,2,NA
isu,gpc,305,3,t0,5,107,107,2.136,gpc,3,7,2.4,NA
isu,gpc,306,3,t6,6,NA,301,1.498,NA,NA,NA,NA,NA
isu,gpc,307,3,t3,7,303,303,1.68,NA,NA,NA,2.1,NA
isu,gpc,308,3,t8,8,305,305,1.314,NA,NA,NA,2.3,NA
isu,gpc,309,3,t2,9,306,306,1.873,NA,NA,NA,2,NA
isu,gpc,310,3,t1,10,508,308,1.917,NA,NA,NA,NA,NA
isu,ar,311,3,t6,1,318,318,1.154,NA,NA,NA,2.2,NA
isu,ar,312,3,t4,2,312,312,1.475,NA,NA,NA,2.1,NA
isu,ar,313,3,t8,3,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,314,3,t2,4,311,311,1.87,NA,NA,NA,2,NA
isu,ar,315,3,t7,5,317,217,1.274,NA,NA,NA,2.1,NA
isu,ar,316,3,t1,6,319,319,2.049,NA,NA,NA,2.1,NA
isu,ar,317,3,t0,7,515,NA,2.085,NA,NA,NA,NA,NA
isu,ar,318,3,t9,8,314,314,1.18,NA,NA,NA,2.1,NA
isu,ar,319,3,t3,9,320,320,1.62,NA,NA,NA,2.1,NA
isu,ar,320,3,t5,10,316,316,1.419,NA,NA,NA,2.2,NA
isu,pcro,321,3,t8,1,329,329,1.497,NA,NA,NA,2.3,NA
isu,pcro,322,3,t4,2,324,324,1.506,NA,NA,NA,2,NA
isu,pcro,323,3,t1,3,322,322,2.023,NA,NA,NA,2.1,NA
isu,pcro,324,3,t0,4,325,325,2.141,NA,NA,NA,2.2,NA
isu,pcro,325,3,t3,5,328,328,1.489,NA,NA,NA,2.1,NA
isu,pcro,326,3,t7,6,327,327,1.214,NA,NA,NA,2.1,NA
isu,pcro,327,3,t2,7,326,328,1.985,NA,NA,NA,2.1,NA
isu,pcro,328,3,t9,8,323,323,1.619,NA,NA,NA,2.3,NA
isu,pcro,329,3,t6,9,321,321,1.388,NA,NA,NA,2.3,NA
isu,pcro,330,3,t5,10,330,330,1.463,NA,NA,NA,2.1,NA
isu,wpc,331,3,t2,1,333,333,1.995,NA,NA,NA,2.1,NA
isu,wpc,332,3,t7,2,335,335,1.696,NA,NA,NA,2.2,NA
isu,wpc,333,3,t3,3,334,334,1.63,NA,NA,NA,2,NA
isu,wpc,334,3,t1,4,338,338,1.975,NA,NA,NA,2.1,NA
isu,wpc,335,3,t0,5,337,337,2.107,NA,NA,NA,2.2,NA
isu,wpc,336,3,t6,6,331,331,1.743,NA,NA,NA,2.1,NA
isu,wpc,337,3,t5,7,339,339,1.568,NA,NA,NA,2.2,NA
isu,wpc,338,3,t9,8,340,340,1.446,NA,NA,NA,2,NA
isu,wpc,339,3,t8,9,336,336,1.36,NA,NA,NA,2,NA
isu,wpc,340,3,t4,10,332,232,1.708,NA,NA,NA,2.2,NA
isu,cr,341,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
isu,cr,342,3,t4,2,347,347,1.365,NA,NA,NA,2.1,NA
isu,cr,343,3,t3,3,343,343,1.338,NA,NA,NA,2.2,NA
isu,cr,344,3,t1,4,348,348,1.963,NA,NA,NA,2,NA
isu,cr,345,3,t5,5,341,341,1.195,NA,NA,NA,2.2,NA
isu,cr,346,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
isu,cr,347,3,t7,7,289,289,1.605,NA,NA,NA,2.4,NA
isu,cr,348,3,t6,8,345,345,1.121,NA,NA,NA,2.1,NA
isu,cr,349,3,t0,9,342,342,2.028,NA,NA,NA,2.1,NA
isu,cr,350,3,t2,10,349,349,1.979,NA,NA,NA,2.1,NA
isu,pcro,351,4,t7,1,352,258,1.2,NA,NA,NA,2.3,NA
isu,pcro,352,4,t9,2,253,253,1.236,NA,NA,NA,2.1,NA
isu,pcro,353,4,t1,3,257,237,1.969,NA,NA,NA,2.1,NA
